match_id,r-hero1,r-hero2,r-hero3,r-hero4,r-hero5,d-hero1,d-hero2,d-hero3,d-hero4,d-hero5,avg_mmr,num_mmr,game_mode,lobby_type,radiant_win
3330076800,36,25,14,85,93,7,18,68,106,104,4171,5,22,7,FALSE
3328160402,67,26,98,76,28,31,99,48,104,5,2956,4,3,7,TRUE
3343099002,86,51,8,22,32,36,62,18,25,23,2573,5,22,7,FALSE
3348488501,84,2,47,100,8,93,14,59,101,113,1305,2,22,7,TRUE
3355313703,9,14,47,99,1,112,44,48,69,32,3194,7,22,7,FALSE
3335269606,106,61,87,32,93,44,95,31,62,58,2628,2,22,0,FALSE
3312850704,16,74,48,62,40,29,20,18,25,75,4034,3,3,7,TRUE
3358056003,2,74,4,43,31,86,12,21,63,37,1683,2,22,0,FALSE
3316781909,104,39,44,60,64,100,54,14,113,25,2640,3,22,0,TRUE
3324606401,16,14,65,8,53,47,2,23,57,74,3427,6,22,0,TRUE
3310514807,47,8,71,83,95,84,106,99,114,74,1914,2,22,7,TRUE
3298173702,79,56,27,74,39,4,30,9,106,41,4218,9,22,7,TRUE
3368138503,110,76,74,22,9,87,114,35,29,1,5409,8,22,7,TRUE
3315952703,14,86,17,9,35,74,4,104,112,8,3994,2,22,0,TRUE
3353463302,99,57,59,51,74,21,40,75,28,70,4814,9,22,7,TRUE
3358832004,71,30,17,44,4,41,22,13,104,96,3436,5,3,7,TRUE
3303839907,9,42,87,18,21,59,40,22,53,32,1517,2,3,7,FALSE
3300424804,77,64,21,49,4,72,20,34,14,110,4463,7,22,7,TRUE
3339300209,2,18,3,35,45,88,22,28,49,8,2745,2,22,0,FALSE
3335857803,61,67,51,25,26,13,88,2,48,34,3142,2,22,0,TRUE
3336732309,2,56,36,47,9,44,35,3,95,88,2630,2,22,7,TRUE
3375586903,106,35,2,44,27,81,4,104,34,48,2914,3,22,7,TRUE
3360472706,9,94,101,59,104,32,13,36,56,23,1195,4,4,0,TRUE
3381816409,46,6,7,112,99,14,104,12,74,56,3871,2,22,7,FALSE
3305134609,21,32,17,18,27,71,99,106,1,84,3729,2,22,7,TRUE
3380906206,97,53,5,74,81,6,47,20,30,40,2432,2,22,7,TRUE
3357815509,64,44,2,61,40,101,36,17,31,48,4145,8,22,0,FALSE
3298752102,88,84,41,37,74,23,86,8,13,60,3893,8,22,7,TRUE
3367552405,41,107,99,109,83,39,98,50,114,90,3881,5,22,7,FALSE
3371548707,14,97,95,36,32,41,90,7,63,47,4948,8,22,7,TRUE
3330757007,40,9,58,94,46,47,82,48,87,70,2804,3,4,0,TRUE
3372069601,28,45,4,16,94,68,8,73,75,36,3056,3,22,0,FALSE
3325399700,8,98,113,2,25,100,41,49,28,74,3207,3,2,0,FALSE
3298928601,36,31,8,23,6,79,74,99,96,63,1865,2,22,0,TRUE
3337348405,41,29,99,44,26,90,28,2,93,74,1879,3,22,7,TRUE
3359875708,114,7,63,18,59,25,14,107,41,55,2390,4,3,0,TRUE
3306243702,105,9,45,70,108,95,35,81,93,106,2246,3,22,0,FALSE
3319843103,67,7,9,21,75,1,32,87,11,102,2657,4,3,0,TRUE
3380824300,114,100,11,111,104,45,36,35,63,47,2957,5,22,7,TRUE
3363273307,53,68,10,82,18,7,102,36,87,35,3517,2,22,0,FALSE
